step,episode,reward,avg_reward_100,epsilon,elapsed_s
464351,527,-20.00,-20.68,0.1642,2558.4
465111,528,-21.00,-20.68,0.1628,2562.4
465933,529,-21.00,-20.68,0.1613,2567.2
466721,530,-21.00,-20.68,0.1599,2571.7
467478,531,-21.00,-20.69,0.1585,2576.3
468256,532,-21.00,-20.69,0.1571,2581.2
469012,533,-21.00,-20.69,0.1558,2585.3
469899,534,-20.00,-20.68,0.1542,2590.4
470730,535,-20.00,-20.68,0.1527,2595.7
471693,536,-20.00,-20.67,0.1510,2601.9
472529,537,-20.00,-20.66,0.1494,2607.2
473514,538,-20.00,-20.65,0.1477,2613.2
474451,539,-21.00,-20.66,0.1460,2617.6
475211,540,-21.00,-20.66,0.1446,2622.1
476045,541,-20.00,-20.65,0.1431,2627.2
476884,542,-20.00,-20.65,0.1416,2632.4
477749,543,-20.00,-20.64,0.1401,2637.7
478584,544,-20.00,-20.64,0.1385,2642.7
479368,545,-21.00,-20.64,0.1371,2647.6
480130,546,-21.00,-20.65,0.1358,2652.1
481009,547,-21.00,-20.66,0.1342,2657.3
481768,548,-21.00,-20.66,0.1328,2662.0
482779,549,-20.00,-20.66,0.1310,2668.0
483558,550,-21.00,-20.66,0.1296,2672.5
484378,551,-21.00,-20.66,0.1281,2677.7
485135,552,-21.00,-20.66,0.1268,2682.6
486094,553,-20.00,-20.66,0.1250,2688.3
486967,554,-21.00,-20.66,0.1235,2693.8
487730,555,-21.00,-20.66,0.1221,2698.6
488492,556,-21.00,-20.66,0.1207,2702.9
489250,557,-21.00,-20.66,0.1193,2707.6
490090,558,-20.00,-20.65,0.1178,2712.6
491080,559,-21.00,-20.65,0.1161,2718.4
